REF_MS;Page_PDF;TITRE_PIECE;TITRE_BRENNER;LANGUE;JOUR;NUM;MOIS;ANNEE;AUTEUR_PIECE;REPR_1;DEPENSES_DIVERSES;Traduction;mot_cles;COUT_DEPENSES_DIVERSES;Dépenses_ordinaires;Instruments;Animaux;Coiffeuse;Picard;Buron;Monsieur_Sticotti;Coffre-fort;Nicolo_et/ou_Villars;Spese_extra;Sconba;Putella;Lista;Chaises;Porteur;Carrosse;Habiller;Menuisier–_De_Lande;Afficheur;Gardes;Souffleur;Lustres;Perruquier;Hommes_ou_enfants_en_plus;Bougies;Arguments;Mances;Danseurs;Pour_le_feu;TOTAL_DEPENSES;DEBIT_DERNIERE_REPR;Column;Recettes_balcon_de_premières_loges;Balcon_deuxièmes_loges;Recettes_balcon_deuxièmes_loges;Billets_premières_loges;Recettes_premières_loges;Billets__secondes_loges;Recettes_deuxièmes_loges;Billets_troisièmes_loges;Recettes_troisièmes_loges;Billets_parterre;Recettes_Parterre;Premières_loges;Recette_Prima_loggia;Seconda_loggia;Recette_Seconda_loggia;Personnalités;Montant_personnalités;Supplément;Montant_Supplément;Paradis;Recettes_Paradis;NB_TOTAL_BILLETS_VENDUS;RECETTES_BILLETS_VENDUS;QUART_PAUVRE;TOTAL_DEPENSES2;DEBIT_INITIAL;RESTE;CREDIT;CREDIT_FINAL_(avanza);R_DEBIT_TOT;R_CREDIT_TOT;Part_des_auteurs;Aparte_in_6_;Aparte_in_9;Aparte_in_12;Aparte_in_12_e_1/4;Aparte_in_12_e_½;Aparte_in_13;Aparte_in_13_¾;Aparte_in_14;Aparte_in_14_¾;Aparte_in_15;Anecdotes;REDACTEURS
TH_OC_10_78;1;Fortunade_Gielosie;Prince_jaloux;IT/FR;Mercordi;2;Zug°;1717;IT;30/05/17;Lista_del_puruch°;;;18;120;;;;;;;;;;;;1,07;;;;;;;;;;;;;;;;;139,07;;;;;;52;208;34;68;1;1,1;110;110;;;;;;;;;;;197;387,1;96,17,6;139,7;236,40,6;151,05;387,1;31,05;;;;;;10;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;2;L'impegno_contra_l'amicho;Engagement_imprévu;IT;Giornedi;3;Zug°;1717;Inconnu;26/05/17;Lista_d'eri_sera;;;2;120;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;123;;;;;;26;104;34;68;4;6;103;103;;;;;;;;;;;167;281;70,05;123;193,05;97,15;281;87,15;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;2;Gioco_di_Fortuna;Bonheur_du_hasard;IT;Sabatto;5;Zug°;1717;Inconnu;15/05/17;;;;;120;;;;;;;;;33;;;;;3,05;22;;;;;;;;;4,18;;2;;;185,03;;;;;;42;168;39;78;2;3;173;173;;;;;;;oui;7;;;256;429;107,05;185,3;292,08;186,15,2;429;16,12;;;;;;10;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;2;Prince_jaloux;;;;6;Zug°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;3;Fortunade_Gielosie;Prince_jaloux;IT/FR;Domenica;6;Zug°;1717;Cicognini;30/05/17;Tamburi;;;2;120;Tamburi;;;;;;;;;;;;;;;;;;;;;;;;;;;;122;;;;;;50;200;62;124;7;10,1;115;115;;;;;;;oui;4;;;234;449,1;112,76;122;234,76;215,02;449,1;99,02;;;;;;10;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;3;Li_due_Anelli_magici;;IT;Lunedi;7;Zug°;1717;Inconnu;13/05/17;Lista_d'eri_sera;;;1,11;120;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;122,1;;;;;;31;124;29;58;;0;74;74;;;;;;;oui;2;;;134;258;64,1;122,1;186,11;71,09;258;17,09;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;4;Fortunade_Gielosie;Prince_jaloux;IT/FR;Mercordi;9;Zug°;1717;Cicognini;30/05/17;Tamburi;;;2;;Tamburi;;;;;;;;;;;;;;;;;;;;;;;;;;;;122;;;;;;19;76;16;32;;;82;82;;;;;;;;;;;117;190;47,1;122;169,01;20,1;190;20,1;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;4;Fortunade_Gielosie;Prince_jaloux;IT/FR;Sabatto;12;Zug°;1717;Cicognini;30/05/17;Tamburi;;;2;120;Tamburi;;;;;;;;33;;;;;3,05;22;;;;;;;;;6,08;;;;;186,13;;;;;;15;60;6;12;1;1,1;74;74;;;;;;;oui;1;;;96;178,1;37,20,6;186,13;223,15,6;75,51;148,1;;;;;;;0;;;;;;;;;Alborgheti/Bissoni
TH_OC_10_78;4;Fortunade_Gielosie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH_OC_10_78;5;L'Amor_Stravagante;Amour_extravagant;IT;Domenica;13;Zug°;1717;Inconnu;13/06/17;Per_portadura_di_strumenti_da_Mlle_Robic;;;1;120;;;;;;;;;;;;2,12;;;;;;;;;;;;;;;;;198,16;75,1;;;;;54;216;44;88;4;6;174;154;;;;;;;oui;4;;;276;488;122;198,16;320,16;167,04;488;47,04;;;;;;10;;;;;;;;;Alborgheti/Bissoni
